2025-12-19 11:16:40,548 - __main__ - INFO - Starting game...
2025-12-19 11:16:40,548 - __main__ - INFO - Initializing NES game...
2025-12-19 11:16:40,734 - __main__ - DEBUG - Creating NES renderer...
2025-12-19 11:16:40,734 - __main__ - DEBUG - Generating world...
2025-12-19 11:16:40,751 - __main__ - INFO - World generated - Hero at (29, 24)
2025-12-19 11:16:40,751 - __main__ - INFO - Generated 1 treasure chests
2025-12-19 11:16:40,751 - __main__ - DEBUG - Initializing menu system...
2025-12-19 11:16:40,751 - __main__ - INFO - Game initialization complete!
2025-12-19 11:16:40,751 - __main__ - INFO - Starting main game loop
2025-12-19 11:16:43,312 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:43,474 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:43,777 - __main__ - DEBUG - Attempting to move hero by (1, 0)
2025-12-19 11:16:43,972 - __main__ - DEBUG - Attempting to move hero by (1, 0)
2025-12-19 11:16:44,150 - __main__ - DEBUG - Attempting to move hero by (1, 0)
2025-12-19 11:16:44,294 - __main__ - DEBUG - Attempting to move hero by (1, 0)
2025-12-19 11:16:44,715 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:44,860 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:45,007 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:45,135 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:45,281 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:45,441 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:45,570 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:45,699 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:45,877 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:46,085 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:46,262 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:46,392 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:46,535 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:46,650 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:46,784 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:46,932 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:47,077 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:47,237 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:47,365 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:47,655 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:47,832 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:47,995 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:48,350 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:48,561 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:49,720 - __main__ - DEBUG - Attempting to open chest near hero at (23, 14)
2025-12-19 11:16:49,720 - __main__ - INFO - Opening chest at (23, 15)
2025-12-19 11:16:49,720 - __main__ - INFO - Treasure found: Iron Sword (weapon)
2025-12-19 11:16:50,617 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:50,786 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:50,914 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:51,043 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:51,172 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:51,299 - __main__ - DEBUG - Attempting to move hero by (0, -1)
2025-12-19 11:16:51,567 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:51,745 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:51,872 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:52,129 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:52,296 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:52,425 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:52,634 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:52,797 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:52,927 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:53,059 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:53,192 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:53,352 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:53,449 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:53,760 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:53,888 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:54,024 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:54,183 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:54,326 - __main__ - DEBUG - Attempting to move hero by (0, 1)
2025-12-19 11:16:54,473 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:54,616 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
2025-12-19 11:16:54,745 - __main__ - DEBUG - Attempting to move hero by (-1, 0)
