2025-12-19 12:07:58,512 - INFO - === NES Roguelike Starting ===
2025-12-19 12:07:58,696 - INFO - Game state initialized
2025-12-19 12:07:58,697 - INFO - Created all sprites
2025-12-19 12:07:58,697 - INFO - Renderer initialized
2025-12-19 12:07:58,697 - INFO - Input handler initialized
2025-12-19 12:07:58,697 - INFO - Menu system initialized
2025-12-19 12:07:58,698 - INFO - Starting new game
2025-12-19 12:07:58,710 - INFO - World set: 50x38
2025-12-19 12:07:58,710 - DEBUG - Hero position: (25, 19)
2025-12-19 12:07:58,710 - INFO - World generated: 50x38
2025-12-19 12:07:58,710 - INFO - Hero at (25, 19)
2025-12-19 12:07:58,710 - INFO - 1 chests placed
2025-12-19 12:07:58,710 - INFO - Game initialized successfully
2025-12-19 12:07:58,710 - INFO - Starting game loop
2025-12-19 12:08:21,631 - DEBUG - Hero position: (25, 18)
2025-12-19 12:08:21,824 - DEBUG - Hero position: (25, 17)
2025-12-19 12:08:22,581 - DEBUG - Hero position: (26, 17)
2025-12-19 12:08:22,872 - DEBUG - Hero position: (26, 16)
2025-12-19 12:08:23,033 - DEBUG - Hero position: (26, 15)
2025-12-19 12:08:23,162 - DEBUG - Hero position: (26, 14)
2025-12-19 12:08:23,288 - DEBUG - Hero position: (26, 13)
2025-12-19 12:08:23,418 - DEBUG - Hero position: (26, 12)
2025-12-19 12:08:23,547 - DEBUG - Hero position: (26, 11)
2025-12-19 12:08:23,691 - DEBUG - Hero position: (26, 10)
2025-12-19 12:08:23,820 - DEBUG - Hero position: (26, 9)
2025-12-19 12:08:23,963 - DEBUG - Hero position: (26, 8)
2025-12-19 12:08:24,123 - DEBUG - Hero position: (26, 7)
2025-12-19 12:08:24,351 - DEBUG - Hero position: (27, 7)
2025-12-19 12:08:25,430 - DEBUG - Hero position: (28, 7)
2025-12-19 12:08:26,413 - DEBUG - Hero position: (29, 7)
2025-12-19 12:08:26,573 - DEBUG - Hero position: (30, 7)
2025-12-19 12:08:26,702 - DEBUG - Hero position: (31, 7)
2025-12-19 12:08:26,832 - DEBUG - Hero position: (32, 7)
2025-12-19 12:08:26,960 - DEBUG - Hero position: (33, 7)
2025-12-19 12:08:27,104 - DEBUG - Hero position: (34, 7)
2025-12-19 12:08:27,219 - DEBUG - Hero position: (35, 7)
2025-12-19 12:08:27,365 - DEBUG - Hero position: (36, 7)
2025-12-19 12:08:27,493 - DEBUG - Hero position: (37, 7)
2025-12-19 12:08:27,623 - DEBUG - Hero position: (38, 7)
2025-12-19 12:08:27,751 - DEBUG - Hero position: (39, 7)
2025-12-19 12:08:27,912 - DEBUG - Hero position: (39, 8)
2025-12-19 12:08:28,478 - DEBUG - Hero position: (38, 8)
2025-12-19 12:08:28,623 - DEBUG - Hero position: (37, 8)
2025-12-19 12:08:28,767 - DEBUG - Hero position: (36, 8)
2025-12-19 12:08:28,911 - DEBUG - Hero position: (35, 8)
2025-12-19 12:08:29,041 - DEBUG - Hero position: (34, 8)
2025-12-19 12:08:29,170 - DEBUG - Hero position: (33, 8)
2025-12-19 12:08:29,284 - DEBUG - Hero position: (32, 8)
2025-12-19 12:08:29,430 - DEBUG - Hero position: (31, 8)
2025-12-19 12:08:29,576 - DEBUG - Hero position: (30, 8)
2025-12-19 12:08:29,707 - DEBUG - Hero position: (29, 8)
2025-12-19 12:08:29,851 - DEBUG - Hero position: (28, 8)
2025-12-19 12:08:29,996 - DEBUG - Hero position: (27, 8)
2025-12-19 12:08:30,140 - DEBUG - Hero position: (26, 8)
2025-12-19 12:08:30,333 - DEBUG - Hero position: (26, 9)
2025-12-19 12:08:30,494 - DEBUG - Hero position: (26, 10)
2025-12-19 12:08:30,623 - DEBUG - Hero position: (26, 11)
2025-12-19 12:08:30,767 - DEBUG - Hero position: (26, 12)
2025-12-19 12:08:30,895 - DEBUG - Hero position: (26, 13)
2025-12-19 12:08:31,024 - DEBUG - Hero position: (26, 14)
2025-12-19 12:08:31,154 - DEBUG - Hero position: (26, 15)
2025-12-19 12:08:31,298 - DEBUG - Hero position: (26, 16)
2025-12-19 12:08:31,428 - DEBUG - Hero position: (26, 17)
2025-12-19 12:08:31,571 - DEBUG - Hero position: (26, 18)
2025-12-19 12:08:31,717 - DEBUG - Hero position: (26, 19)
2025-12-19 12:08:31,846 - DEBUG - Hero position: (26, 20)
2025-12-19 12:08:31,993 - DEBUG - Hero position: (26, 21)
2025-12-19 12:08:32,137 - DEBUG - Hero position: (26, 22)
2025-12-19 12:08:32,267 - DEBUG - Hero position: (26, 23)
2025-12-19 12:08:32,414 - DEBUG - Hero position: (26, 24)
2025-12-19 12:08:32,559 - DEBUG - Hero position: (26, 25)
2025-12-19 12:08:32,702 - DEBUG - Hero position: (26, 26)
2025-12-19 12:08:32,831 - DEBUG - Hero position: (26, 27)
2025-12-19 12:08:33,007 - DEBUG - Hero position: (27, 27)
2025-12-19 12:08:33,168 - DEBUG - Hero position: (28, 27)
2025-12-19 12:08:33,411 - DEBUG - Hero position: (29, 27)
2025-12-19 12:08:33,540 - DEBUG - Hero position: (30, 27)
2025-12-19 12:08:33,684 - DEBUG - Hero position: (31, 27)
2025-12-19 12:08:33,828 - DEBUG - Hero position: (32, 27)
2025-12-19 12:08:33,971 - DEBUG - Hero position: (33, 27)
2025-12-19 12:08:34,100 - DEBUG - Hero position: (34, 27)
2025-12-19 12:08:34,260 - DEBUG - Hero position: (35, 27)
2025-12-19 12:08:34,406 - DEBUG - Hero position: (36, 27)
2025-12-19 12:08:34,566 - DEBUG - Hero position: (37, 27)
2025-12-19 12:08:34,871 - DEBUG - Hero position: (37, 26)
2025-12-19 12:08:35,176 - DEBUG - Hero position: (38, 26)
2025-12-19 12:08:35,321 - DEBUG - Hero position: (39, 26)
2025-12-19 12:08:35,467 - DEBUG - Hero position: (40, 26)
2025-12-19 12:08:35,692 - DEBUG - Hero position: (39, 26)
2025-12-19 12:08:35,886 - DEBUG - Hero position: (38, 26)
2025-12-19 12:08:36,013 - DEBUG - Hero position: (37, 26)
2025-12-19 12:08:36,143 - DEBUG - Hero position: (36, 26)
2025-12-19 12:08:36,273 - DEBUG - Hero position: (35, 26)
2025-12-19 12:08:36,418 - DEBUG - Hero position: (34, 26)
2025-12-19 12:08:36,564 - DEBUG - Hero position: (33, 26)
2025-12-19 12:08:36,696 - DEBUG - Hero position: (32, 26)
2025-12-19 12:08:36,825 - DEBUG - Hero position: (31, 26)
2025-12-19 12:08:36,969 - DEBUG - Hero position: (30, 26)
2025-12-19 12:08:37,130 - DEBUG - Hero position: (29, 26)
2025-12-19 12:08:37,276 - DEBUG - Hero position: (28, 26)
2025-12-19 12:08:37,420 - DEBUG - Hero position: (27, 26)
2025-12-19 12:08:37,565 - DEBUG - Hero position: (26, 26)
2025-12-19 12:08:37,709 - DEBUG - Hero position: (25, 26)
2025-12-19 12:08:37,871 - DEBUG - Hero position: (24, 26)
2025-12-19 12:08:38,014 - DEBUG - Hero position: (23, 26)
2025-12-19 12:08:38,159 - DEBUG - Hero position: (22, 26)
2025-12-19 12:08:38,303 - DEBUG - Hero position: (21, 26)
2025-12-19 12:08:38,449 - DEBUG - Hero position: (20, 26)
2025-12-19 12:08:38,642 - DEBUG - Hero position: (20, 27)
2025-12-19 12:08:38,852 - DEBUG - Hero position: (19, 27)
2025-12-19 12:08:39,032 - DEBUG - Hero position: (18, 27)
2025-12-19 12:08:39,176 - DEBUG - Hero position: (17, 27)
2025-12-19 12:08:39,320 - DEBUG - Hero position: (16, 27)
2025-12-19 12:08:39,498 - DEBUG - Hero position: (16, 26)
2025-12-19 12:08:39,708 - DEBUG - Hero position: (15, 26)
2025-12-19 12:08:39,885 - DEBUG - Hero position: (14, 26)
2025-12-19 12:08:40,028 - DEBUG - Hero position: (13, 26)
2025-12-19 12:08:40,191 - DEBUG - Hero position: (12, 26)
2025-12-19 12:08:40,334 - DEBUG - Hero position: (11, 26)
2025-12-19 12:08:40,464 - DEBUG - Hero position: (10, 26)
2025-12-19 12:08:40,592 - DEBUG - Hero position: (9, 26)
2025-12-19 12:08:40,736 - DEBUG - Hero position: (9, 25)
2025-12-19 12:08:40,913 - DEBUG - Hero position: (9, 24)
2025-12-19 12:08:41,042 - DEBUG - Hero position: (9, 23)
2025-12-19 12:08:41,203 - DEBUG - Hero position: (9, 22)
2025-12-19 12:08:41,332 - DEBUG - Hero position: (9, 21)
2025-12-19 12:08:42,135 - DEBUG - Hero position: (10, 21)
2025-12-19 12:08:42,439 - DEBUG - Hero position: (9, 21)
2025-12-19 12:08:43,586 - INFO - Opened chest: Iron Sword
2025-12-19 12:08:43,587 - INFO - Opened chest with Iron Sword
2025-12-19 12:08:44,101 - DEBUG - Hero position: (10, 21)
2025-12-19 12:08:46,629 - DEBUG - Menu toggled: True
2025-12-19 12:08:56,532 - INFO - Menu option selected: Inventory
2025-12-19 12:09:03,383 - DEBUG - Menu toggled: False
2025-12-19 12:09:04,379 - DEBUG - Hero position: (9, 21)
2025-12-19 12:09:04,667 - DEBUG - Hero position: (10, 21)
